Date,Region,BoxOffice
2019-08-18,Northeastern China,607.8
2019-08-18,Northwestern China,497.0
2019-08-19,East China,1934.2
2019-08-19,Southern China,880.0
2019-08-19,Southwest China,782.8
2019-08-19,Central China,694.0
2019-08-19,North China,664.0
2019-08-19,Northeastern China,311.7
2019-08-19,Northwestern China,284.8
2019-08-20,East China,1770.8
2019-08-20,Southern China,796.4
2019-08-20,Southwest China,709.7
2019-08-20,Central China,636.5
2019-08-20,North China,628.1
2019-08-20,Northeastern China,275.0
2019-08-20,Northwestern China,274.5
2019-08-21,East China,1648.5
2019-08-21,Southern China,761.0
2019-08-21,Southwest China,686.9
2019-08-21,Central China,607.8
2019-08-21,North China,591.7
2019-08-21,Northeastern China,267.9
2019-08-21,Northwestern China,260.2
2019-08-22,East China,1565.6
2019-08-22,Southern China,705.6
2019-08-22,Southwest China,648.4
2019-08-22,Central China,586.6
2019-08-22,North China,565.6
2019-08-22,Northeastern China,269.1
2019-08-22,Northwestern China,252.9
2019-08-23,East China,1315.8
2019-08-23,Southern China,584.0
2019-08-23,Southwest China,559.1
2019-08-23,Central China,517.4
2019-08-23,North China,505.9
2019-08-23,Northeastern China,232.5
2019-08-23,Northwestern China,217.5
2019-08-24,East China,2152.7
2019-08-24,Southern China,1009.3
2019-08-24,Southwest China,1006.4
2019-08-24,Central China,746.0
2019-08-24,North China,738.2
2019-08-24,Northeastern China,356.9
2019-08-24,Northwestern China,349.0
2019-08-25,East China,2365.7
2019-08-25,Southern China,1081.5
2019-08-25,Southwest China,941.9
2019-08-25,Central China,728.8
2019-08-25,North China,665.8
2019-08-25,Northeastern China,340.6
2019-08-25,Northwestern China,310.1
2019-08-26,East China,1251.2
2019-08-26,Southern China,558.7
2019-08-26,Southwest China,445.6
2019-08-26,Central China,442.7
2019-08-26,North China,380.1
2019-08-26,Northeastern China,170.6
2019-08-26,Northwestern China,151.6

